responder_id,latitude,longitude,local_timestamp,timezone_status,source_row
345,34.6987897,32.5294734,2022-05-22T06:28:38.473000,NOT_SPECIFIED_IN_WORKBOOK,59
345,34.6987832,32.5294548,2022-05-22T06:28:43.374000,NOT_SPECIFIED_IN_WORKBOOK,60
345,34.6987809,32.5294564,2022-05-22T06:28:47.379000,NOT_SPECIFIED_IN_WORKBOOK,61
345,34.6987812,32.5294566,2022-05-22T06:28:51.432000,NOT_SPECIFIED_IN_WORKBOOK,62
345,34.6987812,32.5294566,2022-05-22T06:28:56.347000,NOT_SPECIFIED_IN_WORKBOOK,63
345,34.6987812,32.5294566,2022-05-22T06:29:00.409000,NOT_SPECIFIED_IN_WORKBOOK,64
345,34.6987812,32.5294566,2022-05-22T06:29:05.379000,NOT_SPECIFIED_IN_WORKBOOK,65
345,34.6987812,32.5294566,2022-05-22T06:29:10.377000,NOT_SPECIFIED_IN_WORKBOOK,66
345,34.6987812,32.5294566,2022-05-22T06:29:14.417000,NOT_SPECIFIED_IN_WORKBOOK,67
345,34.6987812,32.5294566,2022-05-22T06:29:19.349000,NOT_SPECIFIED_IN_WORKBOOK,68
345,34.6987812,32.5294566,2022-05-22T06:29:23.365000,NOT_SPECIFIED_IN_WORKBOOK,69
345,34.6987812,32.5294566,2022-05-22T06:29:28.357000,NOT_SPECIFIED_IN_WORKBOOK,70
345,34.6987812,32.5294566,2022-05-22T06:29:32.366000,NOT_SPECIFIED_IN_WORKBOOK,71
345,34.6987812,32.5294566,2022-05-22T06:29:37.364000,NOT_SPECIFIED_IN_WORKBOOK,72
345,34.6987812,32.5294566,2022-05-22T06:29:41.352000,NOT_SPECIFIED_IN_WORKBOOK,73
345,34.6987812,32.5294566,2022-05-22T06:29:45.386000,NOT_SPECIFIED_IN_WORKBOOK,74
345,34.6987812,32.5294566,2022-05-22T06:29:50.392000,NOT_SPECIFIED_IN_WORKBOOK,75
345,34.6987812,32.5294566,2022-05-22T06:29:55.370000,NOT_SPECIFIED_IN_WORKBOOK,76
345,34.6987812,32.5294566,2022-05-22T06:29:59.400000,NOT_SPECIFIED_IN_WORKBOOK,77
345,34.6987812,32.5294566,2022-05-22T06:30:04.369000,NOT_SPECIFIED_IN_WORKBOOK,78
345,34.6988192,32.5294899,2022-05-22T06:30:11.356000,NOT_SPECIFIED_IN_WORKBOOK,79
345,34.6987778,32.5295186,2022-05-22T06:30:16.371000,NOT_SPECIFIED_IN_WORKBOOK,80
345,34.6987785,32.529519,2022-05-22T06:30:20.367000,NOT_SPECIFIED_IN_WORKBOOK,81
345,34.6987944,32.529503,2022-05-22T06:30:24.382000,NOT_SPECIFIED_IN_WORKBOOK,82
345,34.6987994,32.5295058,2022-05-22T06:30:29.364000,NOT_SPECIFIED_IN_WORKBOOK,83
345,34.6987995,32.5295038,2022-05-22T06:30:33.354000,NOT_SPECIFIED_IN_WORKBOOK,84
345,34.6987995,32.5295038,2022-05-22T06:30:37.390000,NOT_SPECIFIED_IN_WORKBOOK,85
345,34.6987995,32.5295038,2022-05-22T06:30:42.389000,NOT_SPECIFIED_IN_WORKBOOK,86
345,34.6987995,32.5295038,2022-05-22T06:30:46.387000,NOT_SPECIFIED_IN_WORKBOOK,87
345,34.6987995,32.5295038,2022-05-22T06:30:51.378000,NOT_SPECIFIED_IN_WORKBOOK,88
345,34.6988083,32.5294957,2022-05-22T06:30:56.404000,NOT_SPECIFIED_IN_WORKBOOK,89
345,34.6988081,32.5294958,2022-05-22T06:31:01.389000,NOT_SPECIFIED_IN_WORKBOOK,90
345,34.6988081,32.5294958,2022-05-22T06:31:06.374000,NOT_SPECIFIED_IN_WORKBOOK,91
345,34.6988429,32.5295085,2022-05-22T06:31:11.386000,NOT_SPECIFIED_IN_WORKBOOK,92
345,34.6988293,32.5295223,2022-05-22T06:31:16.405000,NOT_SPECIFIED_IN_WORKBOOK,93
345,34.698894,32.5294794,2022-05-22T06:31:20.442000,NOT_SPECIFIED_IN_WORKBOOK,94
345,34.6988218,32.5294905,2022-05-22T06:31:24.460000,NOT_SPECIFIED_IN_WORKBOOK,95
345,34.6988369,32.5294859,2022-05-22T06:31:28.444000,NOT_SPECIFIED_IN_WORKBOOK,96
345,34.6988368,32.5294847,2022-05-22T06:31:32.439000,NOT_SPECIFIED_IN_WORKBOOK,97
345,34.6988362,32.5294845,2022-05-22T06:31:36.483000,NOT_SPECIFIED_IN_WORKBOOK,98
345,34.6988193,32.5295117,2022-05-22T06:31:41.410000,NOT_SPECIFIED_IN_WORKBOOK,99
345,34.6988204,32.5295128,2022-05-22T06:31:45.467000,NOT_SPECIFIED_IN_WORKBOOK,100
345,34.6988207,32.5295129,2022-05-22T06:31:50.406000,NOT_SPECIFIED_IN_WORKBOOK,101
345,34.698815,32.529512,2022-05-22T06:31:55.401000,NOT_SPECIFIED_IN_WORKBOOK,102
345,34.6988143,32.5295098,2022-05-22T06:32:00.361000,NOT_SPECIFIED_IN_WORKBOOK,103
345,34.6988118,32.5295134,2022-05-22T06:32:04.380000,NOT_SPECIFIED_IN_WORKBOOK,104
345,34.698807,32.5295132,2022-05-22T06:32:08.615000,NOT_SPECIFIED_IN_WORKBOOK,105
345,34.6988081,32.5295081,2022-05-22T06:32:13.373000,NOT_SPECIFIED_IN_WORKBOOK,106
345,34.6988081,32.5295081,2022-05-22T06:32:17.383000,NOT_SPECIFIED_IN_WORKBOOK,107
345,34.6988081,32.5295081,2022-05-22T06:32:22.404000,NOT_SPECIFIED_IN_WORKBOOK,108
345,34.6988081,32.5295081,2022-05-22T06:32:26.370000,NOT_SPECIFIED_IN_WORKBOOK,109
345,34.6988081,32.5295081,2022-05-22T06:32:30.377000,NOT_SPECIFIED_IN_WORKBOOK,110
345,34.6988081,32.5295081,2022-05-22T06:32:34.362000,NOT_SPECIFIED_IN_WORKBOOK,111
345,34.6988175,32.5294989,2022-05-22T06:32:39.356000,NOT_SPECIFIED_IN_WORKBOOK,112
345,34.6988376,32.5294955,2022-05-22T06:32:43.373000,NOT_SPECIFIED_IN_WORKBOOK,113
345,34.6988405,32.5294972,2022-05-22T06:32:48.399000,NOT_SPECIFIED_IN_WORKBOOK,114
345,34.6988405,32.5294972,2022-05-22T06:32:53.398000,NOT_SPECIFIED_IN_WORKBOOK,115
345,34.6988405,32.5294972,2022-05-22T06:32:58.387000,NOT_SPECIFIED_IN_WORKBOOK,116
345,34.6988388,32.5295006,2022-05-22T06:33:02.388000,NOT_SPECIFIED_IN_WORKBOOK,117
345,34.6988516,32.5295246,2022-05-22T06:33:07.359000,NOT_SPECIFIED_IN_WORKBOOK,118
345,34.6988378,32.529511,2022-05-22T06:33:11.385000,NOT_SPECIFIED_IN_WORKBOOK,119
345,34.6988187,32.5294895,2022-05-22T06:33:15.944000,NOT_SPECIFIED_IN_WORKBOOK,120
345,34.6988157,32.5294916,2022-05-22T06:33:20.390000,NOT_SPECIFIED_IN_WORKBOOK,121
345,34.6988116,32.5294897,2022-05-22T06:33:24.388000,NOT_SPECIFIED_IN_WORKBOOK,122
345,34.6988103,32.5294895,2022-05-22T06:33:29.389000,NOT_SPECIFIED_IN_WORKBOOK,123
345,34.6988096,32.5294891,2022-05-22T06:33:34.379000,NOT_SPECIFIED_IN_WORKBOOK,124
345,34.698808,32.5294905,2022-05-22T06:33:38.371000,NOT_SPECIFIED_IN_WORKBOOK,125
345,34.698812,32.529491,2022-05-22T06:33:42.392000,NOT_SPECIFIED_IN_WORKBOOK,126
345,34.698812,32.529491,2022-05-22T06:33:47.378000,NOT_SPECIFIED_IN_WORKBOOK,127
345,34.6988061,32.5294913,2022-05-22T06:33:51.555000,NOT_SPECIFIED_IN_WORKBOOK,128
345,34.6988062,32.5294911,2022-05-22T06:33:56.381000,NOT_SPECIFIED_IN_WORKBOOK,129
345,34.6988073,32.5294908,2022-05-22T06:34:01.362000,NOT_SPECIFIED_IN_WORKBOOK,130
345,34.6988081,32.5294912,2022-05-22T06:34:06.382000,NOT_SPECIFIED_IN_WORKBOOK,131
345,34.6988069,32.52949,2022-05-22T06:34:10.731000,NOT_SPECIFIED_IN_WORKBOOK,132
345,34.6988075,32.5294938,2022-05-22T06:34:15.384000,NOT_SPECIFIED_IN_WORKBOOK,133
345,34.6988106,32.5294962,2022-05-22T06:34:19.396000,NOT_SPECIFIED_IN_WORKBOOK,134
345,34.6988119,32.5294963,2022-05-22T06:34:24.381000,NOT_SPECIFIED_IN_WORKBOOK,135
345,34.6988123,32.5294957,2022-05-22T06:34:28.386000,NOT_SPECIFIED_IN_WORKBOOK,136
345,34.698812,32.529491,2022-05-22T06:34:33.376000,NOT_SPECIFIED_IN_WORKBOOK,137
345,34.698812,32.529491,2022-05-22T06:34:38.378000,NOT_SPECIFIED_IN_WORKBOOK,138
345,34.6988256,32.5294977,2022-05-22T06:34:43.486000,NOT_SPECIFIED_IN_WORKBOOK,139
345,34.6988315,32.5294321,2022-05-22T06:34:48.472000,NOT_SPECIFIED_IN_WORKBOOK,140
345,34.6988315,32.5294323,2022-05-22T06:34:52.470000,NOT_SPECIFIED_IN_WORKBOOK,141
345,34.6988315,32.5294323,2022-05-22T06:34:57.419000,NOT_SPECIFIED_IN_WORKBOOK,142
345,34.6988315,32.5294323,2022-05-22T06:35:01.482000,NOT_SPECIFIED_IN_WORKBOOK,143
345,34.6988211,32.5294404,2022-05-22T06:35:05.497000,NOT_SPECIFIED_IN_WORKBOOK,144
345,34.6988277,32.529445,2022-05-22T06:35:10.453000,NOT_SPECIFIED_IN_WORKBOOK,145
345,34.698822,32.5294509,2022-05-22T06:35:14.472000,NOT_SPECIFIED_IN_WORKBOOK,146
345,34.6988207,32.5294536,2022-05-22T06:35:19.430000,NOT_SPECIFIED_IN_WORKBOOK,147
345,34.698821,32.5294537,2022-05-22T06:35:24.420000,NOT_SPECIFIED_IN_WORKBOOK,148
345,34.698821,32.5294537,2022-05-22T06:35:28.408000,NOT_SPECIFIED_IN_WORKBOOK,149
345,34.698819,32.5294498,2022-05-22T06:35:32.476000,NOT_SPECIFIED_IN_WORKBOOK,150
345,34.6988264,32.5294603,2022-05-22T06:35:36.486000,NOT_SPECIFIED_IN_WORKBOOK,151
345,34.6988341,32.5294569,2022-05-22T06:35:41.474000,NOT_SPECIFIED_IN_WORKBOOK,152
345,34.6988336,32.5294571,2022-05-22T06:35:46.475000,NOT_SPECIFIED_IN_WORKBOOK,153
345,34.6988226,32.5294409,2022-05-22T06:35:51.460000,NOT_SPECIFIED_IN_WORKBOOK,154
345,34.6988157,32.5294532,2022-05-22T06:35:55.485000,NOT_SPECIFIED_IN_WORKBOOK,155
345,34.6988157,32.5294532,2022-05-22T06:36:00.490000,NOT_SPECIFIED_IN_WORKBOOK,156
345,34.698809,32.5294536,2022-05-22T06:36:05.465000,NOT_SPECIFIED_IN_WORKBOOK,157
345,34.6988094,32.5294536,2022-05-22T06:36:09.467000,NOT_SPECIFIED_IN_WORKBOOK,158
345,34.6988096,32.5294536,2022-05-22T06:36:14.454000,NOT_SPECIFIED_IN_WORKBOOK,159
345,34.6988096,32.5294536,2022-05-22T06:36:18.481000,NOT_SPECIFIED_IN_WORKBOOK,160
345,34.6988096,32.5294536,2022-05-22T06:36:23.467000,NOT_SPECIFIED_IN_WORKBOOK,161
345,34.6987994,32.5294683,2022-05-22T06:36:27.506000,NOT_SPECIFIED_IN_WORKBOOK,162
345,34.6987987,32.5294718,2022-05-22T06:36:32.466000,NOT_SPECIFIED_IN_WORKBOOK,163
345,34.6987987,32.5294718,2022-05-22T06:36:37.450000,NOT_SPECIFIED_IN_WORKBOOK,164
345,34.6987987,32.5294718,2022-05-22T06:36:41.521000,NOT_SPECIFIED_IN_WORKBOOK,165
345,34.6988124,32.5294628,2022-05-22T06:36:46.451000,NOT_SPECIFIED_IN_WORKBOOK,166
345,34.6988124,32.5294628,2022-05-22T06:36:50.453000,NOT_SPECIFIED_IN_WORKBOOK,167
345,34.6988291,32.5294875,2022-05-22T06:36:54.476000,NOT_SPECIFIED_IN_WORKBOOK,168
345,34.6988675,32.5295257,2022-05-22T06:36:59.501000,NOT_SPECIFIED_IN_WORKBOOK,169
345,34.6989229,32.5295661,2022-05-22T06:37:04.475000,NOT_SPECIFIED_IN_WORKBOOK,170
345,34.6989678,32.5295772,2022-05-22T06:37:09.426000,NOT_SPECIFIED_IN_WORKBOOK,171
345,34.6990337,32.529573,2022-05-22T06:37:14.393000,NOT_SPECIFIED_IN_WORKBOOK,172
345,34.6990956,32.5295618,2022-05-22T06:37:19.368000,NOT_SPECIFIED_IN_WORKBOOK,173
345,34.6991331,32.5295512,2022-05-22T06:37:23.351000,NOT_SPECIFIED_IN_WORKBOOK,174
345,34.6991192,32.5295486,2022-05-22T06:37:27.413000,NOT_SPECIFIED_IN_WORKBOOK,175
345,34.6991079,32.5295534,2022-05-22T06:37:31.426000,NOT_SPECIFIED_IN_WORKBOOK,176
345,34.6990883,32.5295332,2022-05-22T06:37:36.377000,NOT_SPECIFIED_IN_WORKBOOK,177
345,34.6990199,32.5295211,2022-05-22T06:37:40.439000,NOT_SPECIFIED_IN_WORKBOOK,178
345,34.6989491,32.5295331,2022-05-22T06:37:45.409000,NOT_SPECIFIED_IN_WORKBOOK,179
345,34.6989034,32.529533,2022-05-22T06:37:49.483000,NOT_SPECIFIED_IN_WORKBOOK,180
345,34.6988391,32.5295156,2022-05-22T06:37:54.454000,NOT_SPECIFIED_IN_WORKBOOK,181
345,34.6988254,32.5295044,2022-05-22T06:37:59.462000,NOT_SPECIFIED_IN_WORKBOOK,182
345,34.6988286,32.5295061,2022-05-22T06:38:04.408000,NOT_SPECIFIED_IN_WORKBOOK,183
345,34.698829,32.5295061,2022-05-22T06:38:08.489000,NOT_SPECIFIED_IN_WORKBOOK,184
345,34.6988227,32.5295041,2022-05-22T06:38:12.501000,NOT_SPECIFIED_IN_WORKBOOK,185
345,34.6988227,32.529504,2022-05-22T06:38:17.472000,NOT_SPECIFIED_IN_WORKBOOK,186
345,34.6988228,32.529504,2022-05-22T06:38:22.382000,NOT_SPECIFIED_IN_WORKBOOK,187
345,34.6988228,32.529504,2022-05-22T06:38:26.445000,NOT_SPECIFIED_IN_WORKBOOK,188
345,34.6988228,32.529504,2022-05-22T06:38:31.477000,NOT_SPECIFIED_IN_WORKBOOK,189
345,34.6988228,32.529504,2022-05-22T06:38:36.407000,NOT_SPECIFIED_IN_WORKBOOK,190
345,34.6988228,32.529504,2022-05-22T06:38:40.473000,NOT_SPECIFIED_IN_WORKBOOK,191
345,34.6988228,32.529504,2022-05-22T06:38:45.468000,NOT_SPECIFIED_IN_WORKBOOK,192
345,34.6988228,32.529504,2022-05-22T06:38:49.462000,NOT_SPECIFIED_IN_WORKBOOK,193
345,34.6988228,32.529504,2022-05-22T06:38:54.433000,NOT_SPECIFIED_IN_WORKBOOK,194
345,34.6988228,32.529504,2022-05-22T06:38:58.416000,NOT_SPECIFIED_IN_WORKBOOK,195
345,34.6988228,32.529504,2022-05-22T06:39:02.489000,NOT_SPECIFIED_IN_WORKBOOK,196
345,34.6988228,32.529504,2022-05-22T06:39:07.503000,NOT_SPECIFIED_IN_WORKBOOK,197
345,34.6988228,32.529504,2022-05-22T06:39:12.490000,NOT_SPECIFIED_IN_WORKBOOK,198
