track_id,search_type,team_id,source_row,delta_seconds,distance_m,speed_mps,grade,quality_flag
hasty_T01_S01,hasty,1,55,13.0,6.024798584585006,0.4634460449680774,0.0,CANDIDATE
hasty_T01_S01,hasty,1,56,14.0,5.549386975184145,0.39638478394172466,0.0,CANDIDATE
hasty_T01_S01,hasty,1,57,14.0,4.076324513166007,0.2911660366547148,0.24531903600170393,CANDIDATE
hasty_T01_S01,hasty,1,58,11.0,9.630670191161744,0.875515471923795,0.0,CANDIDATE
hasty_T01_S01,hasty,1,59,16.0,11.301710010142594,0.7063568756339121,0.08848218535978725,CANDIDATE
hasty_T01_S01,hasty,1,60,14.0,5.377433030163335,0.38410235929738107,0.0,CANDIDATE
hasty_T01_S01,hasty,1,61,13.0,4.755618989159693,0.3658168453199764,0.0,CANDIDATE
hasty_T01_S01,hasty,1,62,12.0,2.750180254564277,0.22918168788035642,0.0,CANDIDATE
hasty_T01_S01,hasty,1,63,30.0,5.038283117883115,0.16794277059610382,0.0,CANDIDATE
hasty_T01_S01,hasty,1,64,16.0,8.765017103027605,0.5478135689392253,0.0,CANDIDATE
hasty_T01_S01,hasty,1,65,14.0,10.383724800656712,0.7416946286183366,0.09630455536887454,CANDIDATE
hasty_T01_S01,hasty,1,66,17.0,11.886960726244032,0.6992329838967077,0.0,CANDIDATE
hasty_T01_S01,hasty,1,67,12.0,7.2759320205050155,0.606327668375418,0.0,CANDIDATE
hasty_T01_S01,hasty,1,68,17.0,14.505859087078752,0.8532858286516913,-0.13787532251581855,CANDIDATE
hasty_T01_S01,hasty,1,69,17.0,13.881879847755819,0.8165811675150482,-0.0720363532149187,CANDIDATE
hasty_T01_S01,hasty,1,70,9.0,3.5940407098208373,0.3993378566467597,0.0,CANDIDATE
hasty_T01_S01,hasty,1,71,2.0,2.6298055330076653,1.3149027665038326,0.0,CANDIDATE
hasty_T01_S01,hasty,1,72,10.0,8.21465529836372,0.821465529836372,0.0,CANDIDATE
