incident_index,IPP_lat,IPP_lon,find_lat,find_lon,straight_line_distance_m,source_file,row_kind
38,34.92530003,-111.7341,34.897333,-111.74117,3175.9148594677617,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
39,34.97868334,-111.89643,34.946833,-111.88967,3594.776512624529,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
40,35.1938,-114.05703,35.208717,-114.13195,7006.480990471594,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
41,35.24375,-111.59967,35.232517,-111.6015,1260.0631969163305,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
42,35.33068333,-111.71108,35.334233,-111.6975,1293.585358593121,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
43,36.23878333,-112.6892,36.246433,-112.70008,1294.4423143486897,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
44,41.54819,-80.33056,41.59006,-80.32647,4668.154660228003,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
45,42.0097,-74.42595,42.03544,-74.35565,6474.1425625125,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
46,42.02893,-74.33659,42.02902,-74.35191,1265.4165898584456,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
47,42.17965,-74.21362,42.18345,-74.19585,1523.959552882812,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
48,42.31735,-76.47791,42.30271,-76.48976,1897.2495402344828,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
49,42.34432,-77.47638,42.36077,-77.48593,1990.3979283321737,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
50,42.74271,-73.45475,42.75163,-73.46259,1180.5204886456104,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
51,43.06902,-74.48481,43.05475,-74.4839,1588.4751006638032,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
52,43.42473,-73.73209,43.42878,-73.73981,769.0757589159082,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
53,43.42498,-74.41496,43.41592,-74.4142,1009.2956094261734,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
54,43.42736,-74.4481,43.44347,-74.45004,1798.1885234445274,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
55,43.4332,-74.41433,43.45684,-74.41519,2629.5684318227777,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
56,43.4449,-74.4086,43.43407,-74.40747,1207.693808397974,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
57,43.51063,-74.57393,43.53014,-74.57169,2176.9214314529563,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
58,43.65649,-76.00019,43.65566,-76.0115,914.5498857490308,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
59,43.73413,-74.25577,43.73701,-74.28305,2215.020461358886,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
60,43.8756,-74.43076,43.91132,-74.37437,6016.0857276225315,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
61,43.95385,-75.15748,43.99774,-75.16148,4890.837012936942,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
62,44.16065,-73.85545,44.1547,-73.85942,733.5051800770021,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
63,44.19013,-74.81336,44.18772,-74.79719,1316.8210900295462,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
64,44.28656,-74.61429,44.28923,-74.60208,1016.2260809383972,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
65,48.1103,-121.4917,48.142,-121.4739,3764.3385563846123,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
